Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,148.000000,157.000000,148.000000,155.000000,155.000000,2205300
2022-07-26,150.000000,158.000000,150.000000,152.000000,152.000000,2391400
2022-07-27,148.000000,156.000000,148.000000,152.000000,152.000000,2726300
2022-07-28,150.000000,154.000000,150.000000,153.000000,153.000000,2032200
2022-07-29,153.000000,157.000000,150.000000,150.000000,150.000000,3410200
2022-08-01,142.000000,153.000000,142.000000,152.000000,152.000000,2255900
2022-08-02,152.000000,153.000000,148.000000,149.000000,149.000000,1351100
2022-08-03,140.000000,151.000000,140.000000,148.000000,148.000000,1032900
2022-08-04,144.000000,149.000000,144.000000,146.000000,146.000000,1814500
2022-08-05,140.000000,147.000000,140.000000,144.000000,144.000000,1532400
2022-08-08,145.000000,145.000000,134.000000,140.000000,140.000000,4287700
2022-08-09,136.000000,143.000000,136.000000,141.000000,141.000000,1507400
2022-08-10,143.000000,144.000000,140.000000,142.000000,142.000000,1312600
2022-08-11,141.000000,146.000000,140.000000,144.000000,144.000000,2119600
2022-08-12,143.000000,146.000000,143.000000,145.000000,145.000000,586300
2022-08-15,145.000000,153.000000,145.000000,150.000000,150.000000,3035200
