Date,Open,High,Low,Close,Adj Close,Volume
2022-06-28,1185.0,1200.0,1150.0,1200.0,1200.0,16557000
2022-06-29,1200.0,1225.0,1185.0,1210.0,1210.0,13164200
2022-06-30,1210.0,1220.0,1180.0,1210.0,1210.0,11395600
2022-07-01,1220.0,1250.0,1190.0,1190.0,1190.0,11943100
2022-07-04,1190.0,1190.0,1130.0,1175.0,1175.0,9733300
2022-07-05,1175.0,1185.0,1145.0,1180.0,1180.0,8109900
2022-07-06,1180.0,1180.0,1135.0,1175.0,1175.0,9538800
2022-07-07,1170.0,1225.0,1150.0,1220.0,1220.0,10599600
2022-07-08,1240.0,1270.0,1220.0,1265.0,1265.0,13333300
2022-07-11,1270.0,1295.0,1265.0,1290.0,1290.0,8549200
2022-07-12,1300.0,1305.0,1270.0,1300.0,1300.0,11036700
2022-07-13,1300.0,1320.0,1290.0,1315.0,1315.0,10491800
2022-07-14,1315.0,1395.0,1260.0,1385.0,1385.0,19125100
2022-07-15,1390.0,1400.0,1305.0,1380.0,1380.0,12381700
2022-07-18,1380.0,1410.0,1355.0,1400.0,1400.0,9131800
2022-07-19,1405.0,1415.0,1370.0,1375.0,1375.0,9706200
2022-07-20,1375.0,1390.0,1330.0,1365.0,1365.0,11590500
2022-07-21,1365.0,1410.0,1360.0,1410.0,1410.0,8910900
2022-07-22,1410.0,1470.0,1405.0,1450.0,1450.0,15867400
2022-07-25,1470.0,1490.0,1445.0,1455.0,1455.0,9207200
2022-07-26,1455.0,1455.0,1420.0,1425.0,1425.0,6941500
2022-07-27,1420.0,1445.0,1420.0,1425.0,1425.0,7404600
2022-07-28,1425.0,1440.0,1365.0,1440.0,1440.0,10537300
2022-07-29,1445.0,1535.0,1440.0,1505.0,1505.0,14038200
2022-08-01,1505.0,1540.0,1495.0,1495.0,1495.0,9577400
2022-08-02,1510.0,1510.0,1430.0,1500.0,1500.0,6776100
2022-08-03,1505.0,1515.0,1450.0,1480.0,1480.0,4211000
2022-08-04,1485.0,1485.0,1440.0,1455.0,1455.0,4118900
2022-08-05,1455.0,1510.0,1455.0,1490.0,1490.0,8213100
2022-08-08,1500.0,1535.0,1490.0,1505.0,1505.0,6520500
2022-08-09,1510.0,1555.0,1485.0,1490.0,1490.0,6095300
2022-08-10,1490.0,1490.0,1390.0,1490.0,1490.0,6301500
